,0
424,3.181358536738472
425,-217.39167731617022
426,-98.20741455012624
427,-211.12523480185587
428,-501.52565160843307
429,-230.0959216755911
430,-168.15573110185636
431,-130.40775352345418
432,-82.62948309253703
433,-120.66186331789027
434,-84.06941006736932
435,-178.50501320190938
436,-338.016601637543
437,-170.80229165773642
438,-172.40806703393287
439,-122.10489268333549
440,-96.74627848535184
441,-350.4556482033503
442,-157.9277725291035
443,-415.2616920754725
444,-62.85811225657159
445,-136.41734308197059
446,-390.4731407842546
447,-248.49390803972244
448,-237.18426443043236
449,-104.63155578326494
450,-123.85321466173627
451,-127.35739928180244
452,-286.7889704622778
453,-12.217121678697652
454,-314.0783645717057
455,-172.0645768172615
456,-332.9701903581005
457,-125.12679457498186
458,-441.41930277704597
459,-331.07015524620056
460,-149.0264419359646
461,-245.13342818648368
462,-48.36901077342697
463,-88.72282108169202
464,-179.14367749452472
465,-113.22359675127902
466,-307.7541165854834
467,-254.0018544425724
468,-270.43615073899673
469,-203.55434287411026
470,-350.294397339164
471,-255.73323059263896
472,-172.83836409786937
473,-216.9586167059959
474,-68.65935836012265
475,-134.0320399495111
476,-84.0982287803017
477,-398.34498962955354
478,-174.17064092022105
479,-152.95232777250737
480,-84.57031234436892
481,-73.15487518485975
482,-194.89685404344104
483,-300.8063467726951
484,-79.31522179309722
485,-81.3979417832219
486,-497.20043339634174
487,-178.45055699184798
488,-139.0894424079959
489,-224.21776409585542
490,-137.31405045820037
491,-158.17764011728445
492,-292.6671867525336
493,-294.3879275497814
494,-378.1217321166934
495,-188.77329376658702
496,-144.15416652248456
497,-77.55880484691966
498,-255.25556017125547
499,-318.08591356336564
500,-196.61258038433513
501,-340.38467273884487
502,-211.48214269222956
503,-97.60779759474538
504,-292.9826227379516
505,-106.34454376602736
506,-88.24137670610426
507,-50.794342244721214
508,-230.3032936861588
509,-439.11992378372673
510,-280.1971298620692
511,-67.62376584177542
512,-236.19717823743582
513,-48.60737629438097
514,-43.06112047813943
515,-427.8271007342435
516,-521.336986746978
517,-111.07687724162159
518,-379.32391148099975
519,-374.4878120322805
520,-125.00826235300404
521,-327.121375593465
522,-73.10554381367095
523,-134.40428143058443
524,-509.81687813440305
525,-124.43277489209868
526,-465.2036073686835
527,-54.001487183265425
528,-280.6945435624815
529,-424.5961459862603
530,-184.97421893995892
