,0,1
0,0,-244.8101348876953
1,1,-402.19891357421875
2,2,-6.592647552490234
3,3,-106.10224914550781
4,4,-155.5186004638672
5,5,-92.08602142333984
6,6,-379.5119323730469
7,7,-144.1376190185547
8,8,-396.6005554199219
9,9,-361.5548400878906
10,10,-201.6879425048828
11,11,-92.70022583007812
12,12,-274.4577331542969
13,13,-390.84429931640625
14,14,-209.73321533203125
15,15,-41.05070877075195
16,16,-70.15602111816406
17,17,-104.35127258300781
18,18,-208.65676879882812
19,19,-121.42203521728516
20,20,-262.5753173828125
21,21,-301.5463562011719
22,22,-92.847900390625
23,23,-591.644287109375
24,24,-110.89262390136719
25,25,-3.8582944869995117
26,26,-56.62945556640625
27,27,-323.0819091796875
28,28,-275.05609130859375
29,29,-154.37973022460938
30,30,-280.5179443359375
31,31,-699.3624267578125
32,32,-313.619873046875
33,33,-349.5132751464844
34,34,-308.19708251953125
35,35,-74.16775512695312
36,36,-409.1064758300781
37,37,-238.05029296875
38,38,-309.6769714355469
39,39,-90.30674743652344
40,40,-25.74262237548828
41,41,-130.5212860107422
42,42,-53.837642669677734
43,43,-47.84049606323242
44,44,-595.5923461914062
45,45,-190.97573852539062
46,46,-198.16705322265625
47,47,-257.7122802734375
48,48,-107.96661376953125
49,49,-562.4942626953125
50,50,-184.00193786621094
51,51,-503.7281188964844
52,52,-45.78204345703125
53,53,-254.50253295898438
54,54,-429.4639587402344
55,55,-375.61328125
56,56,-70.77741241455078
57,57,-75.396484375
58,58,-86.1158218383789
59,59,-252.30125427246094
60,60,-257.7022399902344
61,61,-243.45578002929688
62,62,-603.4315185546875
63,63,-369.8060302734375
64,64,-142.989501953125
65,65,-171.72544860839844
66,66,9.103677749633789
67,67,-222.41456604003906
68,68,-144.51675415039062
69,69,-207.70741271972656
70,70,-118.15365600585938
71,71,-93.61543273925781
72,72,-89.61792755126953
73,73,-71.41795349121094
74,74,-129.8662109375
75,75,-463.71630859375
76,76,-298.0440673828125
77,77,-83.94705963134766
78,78,-53.4542236328125
79,79,-393.09246826171875
80,80,-126.00853729248047
81,81,-498.1210632324219
82,82,-22.94441795349121
83,83,-148.16078186035156
84,84,-289.5186767578125
85,85,-101.9459228515625
86,86,-309.7965393066406
87,87,-134.6522674560547
88,88,-71.72100830078125
89,89,-129.9346923828125
90,90,-53.18883514404297
91,91,-344.7677001953125
92,92,-104.07716369628906
93,93,-158.88397216796875
94,94,-182.21885681152344
95,95,-334.6584167480469
96,96,-641.8004150390625
97,97,-83.47834777832031
98,98,-93.78520965576172
99,99,-83.44715118408203
100,100,-396.6040954589844
101,101,-275.18316650390625
102,102,-291.2259216308594
103,103,-136.79331970214844
104,104,-196.4125518798828
105,105,-58.93864059448242
106,106,-90.36357116699219
107,107,-271.2576599121094
108,108,-411.3805236816406
109,109,-51.58904266357422
110,110,-282.91558837890625
111,111,-204.96446228027344
112,112,-343.25244140625
113,113,-198.29957580566406
114,114,-48.717655181884766
115,115,-204.41969299316406
116,116,-57.00255584716797
117,117,-348.202880859375
118,118,-334.9659423828125
119,119,-94.91473388671875
120,120,-54.46336364746094
121,121,-83.2651596069336
122,122,-293.10638427734375
123,123,-137.52101135253906
124,124,-194.6233367919922
125,125,-52.24212646484375
126,126,-209.65618896484375
127,127,-95.79365539550781
128,128,-264.2099304199219
129,129,-501.1929931640625
130,130,-297.29339599609375
131,131,12.730247497558594
132,132,-791.44140625
133,133,-164.2283477783203
134,134,-134.0313720703125
135,135,-360.7785339355469
136,136,-326.00360107421875
137,137,-1703.2244873046875
138,138,-347.37579345703125
139,139,-158.4528045654297
140,140,-63.659305572509766
141,141,-304.4452209472656
142,142,7.871698379516602
143,143,-139.17266845703125
144,144,-240.30029296875
145,145,-158.30096435546875
146,146,-235.20497131347656
147,147,-61.29644012451172
148,148,-318.3672180175781
149,149,-213.51177978515625
150,150,-276.78936767578125
